
      08 Oct 2018
OSSOS corresondence list, for released blocks

This file is not intended to be a readable table, but rather a searchable
file to find the linkages between an OSSOS designation and the IAU Minor
Planet Center designations (which include both temporary, packed temporary,
and perhaps numbered or named designations).

E block

o4h73     K14UN0B   2014UB230 
o4h74     K14UM9J   2014UJ229 
o4h75     K14UM8N   2014UN228 
o4h76PD   K01RE3X   2001RX143 
o4h77     K14UM9P   2014UP229 
o4h78     K14UN1K   2014UK231 

The objects below are UNCHARACTERIZED in the OSSOS Survey.
Astrometry has been sent to MPC and some have been
designated.  The 'nt' (meaning not tracked) objects have
not been given MPC designations and thus they are listed
here only for completeness sake.

   Uncharact E block.  
uo3e14    K13HF6S   2013HS156 
uo3e33    K13GD7C   2013GC137 
uo3e42    K13GD7A   2013GA137 
uo3e46nt  
uo3e50    K13GD7B   2013GB137 
   Uncharact L block.  
uo3l85nt  
uo3l87nt  
uo3l88    
uo3l89nt  
uo3l90    
uo3l91    K13S99Y   2013SY99  
uo3l92nt  
uo3l93nt  
   Uncharact O block.  
uo3o37    K13J64U   2013JU64  
uo3o38    K13J64S   2013JS64  
uo3o39    K13J64W   2013JW64  
uo3o40    
uo3o41    K13J64X   2013JX64  
uo3o42    
uo3o43    K13J64T   2013JT64  
uo3o44    
uo3o45    K13J64Y   2013JY64  
uo3o46    
uo3o47    
uo3o48    
uo3o49nt  
uo3o50    K13J64V   2013JV64  
   Uncharact H block.  
uo4h30    K14UM9N   2014UN229 
uo4h35    K14UM9R   2014UR229 
uo4h57    
uo4h58    
uo4h59    
uo4h60    
uo4h61    
uo4h62    
uo4h63    
uo4h64nt  
uo4h66nt  
